Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Claim Suite,Chrome 71.0.3578.98,,2018-12-21 09:48:58,2018-12-21 09:50:34,1m - 35.979s,FAILED
,,,,,,
Test Cases/Create Claim,Chrome 71.0.3578.98,This test case will create a claim on an existing policy,2018-12-21 09:48:58,2018-12-21 09:49:25,27.252s,PASSED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-21 09:48:59,2018-12-21 09:49:01,2.656s,PASSED
navigateToUrl(DK_URL),Chrome 71.0.3578.98,,2018-12-21 09:49:01,2018-12-21 09:49:03,1.712s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-21 09:49:03,2018-12-21 09:49:03,0.152s,PASSED
"comment(""Logging into GW"")",Chrome 71.0.3578.98,,2018-12-21 09:49:03,2018-12-21 09:49:03,0.020s,PASSED
"callTestCase(findTestCase(""Reusables/Login GW""), [""user"":userName, ""pwd"":password], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:03,2018-12-21 09:49:04,0.709s,PASSED
"comment(""Searching For a Policy"")",Chrome 71.0.3578.98,,2018-12-21 09:49:04,2018-12-21 09:49:04,0.000s,PASSED
"callTestCase(findTestCase(""Reusables/Step 1""), [""polNum"":polNumber], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:04,2018-12-21 09:49:06,1.996s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:49:06,2018-12-21 09:49:06,0.405s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:49:06,2018-12-21 09:49:06,0.125s,PASSED
"callTestCase(findTestCase(""Reusables/Step 2""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:06,2018-12-21 09:49:09,2.820s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:49:09,2018-12-21 09:49:11,1.615s,PASSED
"callTestCase(findTestCase(""Reusables/Step 3""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:11,2018-12-21 09:49:20,8.963s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:49:20,2018-12-21 09:49:20,0.093s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:49:20,2018-12-21 09:49:21,1.002s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:49:21,2018-12-21 09:49:21,0.103s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:49:21,2018-12-21 09:49:22,1.002s,PASSED
"comment(""Clicking on Finish button to create a claim"")",Chrome 71.0.3578.98,,2018-12-21 09:49:22,2018-12-21 09:49:22,0.000s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/dd_Claimant""))",Chrome 71.0.3578.98,,2018-12-21 09:49:22,2018-12-21 09:49:22,0.119s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/li_Test Name""))",Chrome 71.0.3578.98,,2018-12-21 09:49:22,2018-12-21 09:49:22,0.076s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:49:22,2018-12-21 09:49:23,1.001s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Finish""))",Chrome 71.0.3578.98,,2018-12-21 09:49:23,2018-12-21 09:49:23,0.104s,PASSED
"getText(findTestObject(""Page_GW_ClaimCenter/label_Claim Created""))",Chrome 71.0.3578.98,,2018-12-21 09:49:23,2018-12-21 09:49:24,1.085s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:49:24,2018-12-21 09:49:25,0.328s,PASSED
closeBrowser(),Chrome 71.0.3578.98,,2018-12-21 09:49:25,2018-12-21 09:49:25,0.656s,PASSED
,,,,,,
Test Cases/Create Claim - Negative,Chrome 71.0.3578.98,This test case is intended to fail,2018-12-21 09:49:25,2018-12-21 09:50:33,1m - 7.800s,FAILED
"openBrowser("""")",Chrome 71.0.3578.98,,2018-12-21 09:49:26,2018-12-21 09:49:27,1.262s,PASSED
navigateToUrl(DK_URL),Chrome 71.0.3578.98,,2018-12-21 09:49:27,2018-12-21 09:49:29,2.012s,PASSED
maximizeWindow(),Chrome 71.0.3578.98,,2018-12-21 09:49:29,2018-12-21 09:49:29,0.125s,PASSED
"comment(""Logging into GW"")",Chrome 71.0.3578.98,,2018-12-21 09:49:29,2018-12-21 09:49:29,0.002s,PASSED
"callTestCase(findTestCase(""Reusables/Login GW""), [""user"":userName, ""pwd"":password], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:29,2018-12-21 09:49:29,0.411s,PASSED
"comment(""Searching For a Policy"")",Chrome 71.0.3578.98,,2018-12-21 09:49:29,2018-12-21 09:49:29,0.000s,PASSED
"callTestCase(findTestCase(""Reusables/Step 1""), [""polNum"":polNumber], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:29,2018-12-21 09:49:31,1.708s,PASSED
takeScreenshot(),Chrome 71.0.3578.98,,2018-12-21 09:49:31,2018-12-21 09:49:31,0.364s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:49:31,2018-12-21 09:49:32,0.105s,PASSED
"callTestCase(findTestCase(""Reusables/Step 2""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:32,2018-12-21 09:49:35,3.142s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:49:35,2018-12-21 09:49:51,16.457s,PASSED
"callTestCase(findTestCase(""Reusables/Step 3""), [:], STOP_ON_FAILURE)",Chrome 71.0.3578.98,,2018-12-21 09:49:51,2018-12-21 09:50:00,8.686s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:50:00,2018-12-21 09:50:00,0.106s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:50:00,2018-12-21 09:50:01,1.003s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Next""))",Chrome 71.0.3578.98,,2018-12-21 09:50:01,2018-12-21 09:50:01,0.084s,PASSED
"comment(""Clicking on Finish button to create a claim"")",Chrome 71.0.3578.98,,2018-12-21 09:50:01,2018-12-21 09:50:01,0.001s,PASSED
delay(1),Chrome 71.0.3578.98,,2018-12-21 09:50:01,2018-12-21 09:50:02,1.000s,PASSED
"click(findTestObject(""Page_GW_ClaimCenter/bt_Finish""))",Chrome 71.0.3578.98,,2018-12-21 09:50:02,2018-12-21 09:50:02,0.106s,PASSED
"getText(findTestObject(""Page_GW_ClaimCenter/label_Claim Created""))",Chrome 71.0.3578.98,,2018-12-21 09:50:02,2018-12-21 09:50:33,31.022s,FAILED
